item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id
ITM10408,Automotive,381,92,12,2,16.12,7.38,0.68,L13
ITM10409,Pharma,460,34,12,7,49.6,9.01,0.55,L10
ITM10410,Apparel,45,25,9,8,2.89,7.73,0.67,L69
ITM10411,Apparel,44,63,4,9,7.29,0.96,0.22,L28
ITM10412,Automotive,413,82,3,5,12.01,4.03,0.13,L65
ITM10413,Pharma,320,10,9,3,40.74,3.09,0.22,L34
ITM10414,Electronics,358,51,7,9,44.05,4.17,0.36,L17
ITM10415,Automotive,286,28,3,7,4.5,2.02,0.33,L45
ITM10416,Apparel,480,43,6,7,2.59,1.43,0.65,L9
ITM10417,Apparel,200,89,14,5,37.48,5.45,0.51,L32
ITM10418,Automotive,475,64,6,2,7.53,7.34,0.13,L48
ITM10419,Pharma,379,27,12,8,7.52,7.17,0.13,L37
ITM10420,Apparel,87,43,9,5,2.1,4.78,0.18,L21
ITM10421,Pharma,370,98,11,9,3.44,5.46,0.42,L57
ITM10422,Apparel,431,54,4,9,13.92,5.41,0.11,L70
ITM10423,Apparel,478,15,14,5,4.19,7.07,0.54,L91
ITM10424,Groceries,340,30,3,7,19.08,0.96,0.42,L39
ITM10425,Apparel,68,79,4,3,41.81,7.24,0.6,L79
ITM10426,Electronics,194,57,9,4,16.99,6.03,0.75,L84
ITM10427,Automotive,71,48,12,8,36.66,2.38,0.33,L68
ITM10428,Automotive,121,40,8,9,5.6,0.97,0.24,L2
ITM10429,Pharma,235,19,6,9,33.31,1.53,0.35,L86
ITM10430,Apparel,457,39,3,5,16.52,5.48,0.1,L71
ITM10431,Electronics,207,27,3,8,37.74,7.7,0.21,L39
ITM10432,Pharma,76,69,7,5,7.68,3.68,0.78,L85
ITM10433,Groceries,66,97,3,2,45.0,4.1,0.3,L14
ITM10434,Pharma,178,82,14,8,12.89,9.37,0.99,L18
ITM10435,Pharma,193,24,9,2,18.3,2.52,0.25,L34
ITM10436,Apparel,261,13,13,9,47.56,1.49,0.81,L15
ITM10437,Groceries,301,72,3,7,29.35,3.76,0.73,L14
ITM10438,Pharma,260,49,3,2,18.92,7.59,0.39,L96
ITM10439,Electronics,389,18,4,8,47.53,6.45,0.4,L71
ITM10440,Electronics,24,18,13,6,17.12,4.45,0.61,L20
ITM10441,Automotive,103,35,14,8,5.65,9.67,0.87,L35
ITM10442,Groceries,327,13,12,5,49.85,7.48,0.45,L37
ITM10443,Groceries,380,90,5,2,14.12,1.09,0.16,L78
ITM10444,Automotive,478,25,13,3,42.71,7.57,0.44,L27
ITM10445,Pharma,267,24,3,6,9.11,0.73,0.29,L92
ITM10446,Groceries,73,61,11,7,36.84,6.68,0.95,L44
ITM10447,Electronics,180,78,12,4,26.7,2.5,0.73,L27
ITM10448,Electronics,453,14,10,5,49.06,7.12,0.15,L88
ITM10449,Apparel,441,29,7,5,28.09,3.44,0.36,L82
ITM10450,Groceries,430,88,13,3,2.23,8.79,0.15,L34
ITM10451,Pharma,245,27,4,4,30.59,3.7,0.85,L65
ITM10452,Automotive,34,11,7,9,8.12,6.39,0.92,L63
ITM10453,Automotive,243,22,8,4,40.13,3.22,0.2,L33
ITM10454,Pharma,80,13,3,7,42.97,9.21,0.5,L7
ITM10455,Apparel,141,51,13,7,24.62,7.92,0.94,L12
ITM10456,Automotive,296,83,6,6,39.38,2.81,0.23,L82
ITM10457,Groceries,65,70,11,9,8.11,9.51,0.36,L55
ITM10458,Apparel,472,17,4,5,25.11,3.89,0.37,L36
ITM10459,Groceries,409,76,7,2,20.3,6.69,0.13,L6
ITM10460,Electronics,313,72,3,7,30.95,7.56,0.13,L1
ITM10461,Apparel,81,18,6,3,3.18,0.72,0.96,L43
ITM10462,Automotive,105,20,6,3,37.85,9.61,0.61,L99
ITM10463,Apparel,465,51,8,3,4.88,3.77,0.38,L17
ITM10464,Apparel,229,22,12,8,33.17,2.3,0.44,L82
ITM10465,Apparel,97,45,11,9,1.9,8.58,0.74,L34
ITM10466,Apparel,221,22,5,9,41.76,7.18,0.43,L21
ITM10467,Groceries,321,21,11,7,9.56,1.32,0.3,L95
ITM10468,Electronics,416,46,8,7,26.26,1.61,0.19,L57
ITM10469,Pharma,242,83,9,3,13.81,7.29,0.76,L71
ITM10470,Apparel,241,82,14,9,36.41,1.21,0.26,L91
ITM10471,Automotive,22,61,12,9,16.75,9.21,0.16,L55
ITM10472,Apparel,497,80,4,7,36.51,7.54,0.48,L72
ITM10473,Automotive,25,11,13,8,14.96,3.69,0.14,L2
ITM10474,Groceries,112,65,12,2,37.87,3.95,0.97,L15
ITM10475,Automotive,27,69,8,2,2.5,5.31,0.66,L10
ITM10476,Pharma,447,32,8,6,14.88,3.93,0.24,L89
ITM10477,Electronics,254,49,4,9,25.43,7.94,0.26,L20
ITM10478,Automotive,127,73,4,5,3.21,9.76,0.61,L70
ITM10479,Automotive,180,94,4,2,10.12,6.05,0.42,L5
ITM10480,Electronics,228,32,12,6,46.79,4.74,0.8,L48
ITM10481,Pharma,259,38,14,4,48.86,2.62,0.59,L75
ITM10482,Apparel,350,87,3,5,37.25,6.71,0.49,L71
ITM10483,Automotive,352,99,7,9,13.36,7.01,0.97,L19
ITM10484,Electronics,69,60,10,2,13.77,7.01,0.45,L56
ITM10485,Groceries,30,78,4,8,32.64,0.76,0.46,L17
ITM10486,Electronics,370,98,7,4,6.76,9.04,0.7,L6
ITM10487,Groceries,175,40,14,6,47.47,3.71,0.83,L40
ITM10488,Pharma,89,59,10,2,12.02,7.57,0.66,L47
ITM10489,Apparel,188,29,12,9,49.98,7.72,0.73,L6
ITM10490,Electronics,291,64,7,2,25.29,6.68,0.44,L46
ITM10491,Automotive,87,90,4,7,38.8,4.25,0.53,L27
ITM10492,Pharma,374,11,5,4,1.11,6.28,0.28,L88
ITM10493,Electronics,271,34,8,2,44.55,0.88,0.71,L32
ITM10494,Automotive,67,22,13,3,14.23,7.74,0.3,L86
ITM10495,Electronics,203,79,13,8,33.73,1.45,0.1,L14
ITM10496,Groceries,339,76,7,7,40.51,4.27,0.94,L46
ITM10497,Electronics,206,67,13,7,9.04,1.48,0.38,L100
ITM10498,Electronics,109,91,6,2,22.68,8.45,0.28,L72
ITM10499,Electronics,465,84,6,8,25.2,5.73,0.34,L53
ITM10500,Pharma,351,93,7,7,16.29,7.06,0.4,L80
ITM10501,Electronics,158,73,4,5,24.61,6.98,0.53,L96
ITM10502,Automotive,376,78,11,4,16.56,8.5,0.16,L20
ITM10503,Groceries,108,92,4,5,18.68,1.76,0.15,L31
ITM10504,Groceries,293,95,12,6,33.8,6.77,0.36,L21
ITM10505,Electronics,38,68,4,5,32.0,5.96,0.37,L23
ITM10506,Pharma,490,69,12,8,12.38,0.79,0.21,L53
ITM10507,Pharma,330,92,11,3,44.98,2.41,0.46,L4
ITM10508,Automotive,377,71,5,7,43.28,3.04,0.36,L23
ITM10509,Electronics,393,25,12,8,25.95,1.19,0.12,L95
ITM10510,Groceries,485,97,9,7,22.23,3.87,0.9,L43
ITM10511,Pharma,173,77,6,9,19.47,0.76,0.9,L53
ITM10512,Electronics,409,24,8,3,35.66,5.76,0.29,L86
ITM10513,Pharma,279,98,6,7,33.91,2.51,0.25,L95
ITM10514,Pharma,127,64,12,5,10.61,3.23,0.59,L32
ITM10515,Groceries,390,44,9,9,33.9,9.15,0.67,L35
ITM10516,Apparel,304,64,3,9,13.37,5.28,0.96,L21
ITM10517,Automotive,78,23,5,6,1.91,3.06,0.44,L90
ITM10518,Automotive,144,58,5,9,35.26,6.19,0.66,L14
ITM10519,Groceries,373,92,3,9,32.59,2.42,0.89,L49
ITM10520,Pharma,292,16,8,2,21.13,1.21,0.5,L5
ITM10521,Electronics,126,39,13,3,26.76,0.7,0.21,L61
ITM10522,Pharma,318,92,11,5,47.41,9.54,0.44,L29
ITM10523,Groceries,264,58,10,8,30.16,7.38,0.22,L26
ITM10524,Automotive,355,98,13,5,33.24,8.1,0.11,L59
ITM10525,Pharma,469,25,9,5,4.13,9.82,0.78,L45
ITM10526,Automotive,437,60,12,2,9.13,9.35,0.31,L40
ITM10527,Electronics,266,81,10,4,15.75,7.5,0.1,L30
ITM10528,Automotive,27,91,8,7,27.43,7.09,0.89,L29
ITM10529,Automotive,160,89,11,7,39.05,3.7,0.5,L4
ITM10530,Apparel,381,92,5,8,16.74,1.49,0.31,L85
ITM10531,Apparel,27,51,12,9,18.46,5.95,0.34,L25
ITM10532,Apparel,497,26,12,6,13.55,5.97,0.32,L52
ITM10533,Automotive,371,72,11,8,13.48,9.55,0.28,L43
ITM10534,Groceries,113,54,6,4,47.49,4.7,0.86,L36
ITM10535,Automotive,340,86,9,7,32.14,7.06,0.25,L9
ITM10536,Groceries,446,16,11,6,8.64,5.96,0.61,L99
ITM10537,Groceries,58,36,4,8,36.39,2.18,0.17,L36
ITM10538,Apparel,100,19,4,6,36.38,6.12,0.95,L45
ITM10539,Pharma,206,43,11,5,33.66,5.63,0.64,L83
ITM10540,Electronics,103,45,14,3,7.6,5.19,0.91,L66
ITM10541,Apparel,107,34,5,5,20.99,5.38,0.46,L52
ITM10542,Apparel,261,15,11,2,6.23,2.06,0.83,L87
ITM10543,Pharma,361,33,7,9,41.01,4.9,0.87,L69
ITM10544,Electronics,112,27,8,7,33.1,6.25,0.73,L43
ITM10545,Automotive,105,96,4,6,25.85,5.15,0.18,L4
ITM10546,Automotive,63,15,10,8,17.81,5.14,0.11,L15
ITM10547,Apparel,156,38,13,9,10.03,1.24,0.25,L34
ITM10548,Electronics,440,34,11,3,6.22,2.31,0.21,L23
ITM10549,Apparel,93,64,4,8,48.49,3.55,0.75,L75
ITM10550,Groceries,55,90,8,7,10.78,4.48,0.6,L34
ITM10551,Apparel,120,55,8,6,3.93,6.14,0.57,L5
ITM10552,Apparel,495,33,10,6,48.12,8.7,0.33,L14
ITM10553,Automotive,175,84,12,5,27.9,2.01,0.24,L77
ITM10554,Automotive,445,35,14,3,40.04,0.64,0.29,L56
ITM10555,Automotive,274,37,7,3,3.14,4.77,0.46,L45
ITM10556,Groceries,190,12,11,7,28.78,4.6,0.77,L94
ITM10557,Automotive,488,84,3,6,20.51,5.74,0.33,L41
ITM10558,Electronics,235,47,11,9,38.83,8.42,0.73,L56
ITM10559,Pharma,189,70,12,3,2.88,8.12,0.54,L78
ITM10560,Electronics,271,87,9,3,20.68,1.45,0.9,L66
ITM10561,Electronics,379,60,6,8,40.15,9.37,0.31,L15
ITM10562,Automotive,341,99,5,7,26.61,1.55,0.51,L50
ITM10563,Pharma,74,57,12,5,27.95,6.53,0.19,L74
ITM10564,Pharma,475,30,13,8,5.76,6.89,0.4,L25
ITM10565,Pharma,451,63,8,8,7.48,6.96,0.56,L33
ITM10566,Groceries,110,65,14,4,34.17,3.02,0.76,L6
ITM10567,Automotive,297,68,3,2,34.08,3.64,0.28,L91
ITM10568,Pharma,120,81,5,4,48.98,5.71,0.3,L56
ITM10569,Groceries,174,60,4,3,35.89,2.4,0.67,L1
ITM10570,Apparel,396,29,13,6,25.17,0.69,0.44,L67
ITM10571,Apparel,368,95,11,2,43.01,5.84,0.53,L69
ITM10572,Groceries,470,68,5,2,6.12,4.92,0.85,L88
ITM10573,Groceries,383,80,4,6,23.02,6.74,0.55,L93
ITM10574,Automotive,160,18,6,2,15.07,1.89,0.69,L95
ITM10575,Automotive,192,10,4,6,6.13,8.49,0.69,L95
ITM10576,Apparel,29,38,3,2,38.41,1.89,0.82,L86
ITM10577,Pharma,247,72,8,8,26.03,8.97,0.67,L26
ITM10578,Apparel,284,81,12,9,28.28,4.77,0.16,L47
ITM10579,Pharma,457,65,10,7,21.15,5.72,0.41,L56
ITM10580,Pharma,267,77,12,7,23.56,9.02,0.99,L9
ITM10581,Automotive,266,44,12,4,6.68,3.35,0.28,L86
ITM10582,Electronics,174,12,4,8,33.97,2.23,0.63,L43
ITM10583,Electronics,53,16,11,2,22.19,4.73,0.86,L80
ITM10584,Groceries,148,36,5,5,41.02,2.82,0.63,L41
ITM10585,Automotive,179,10,10,6,10.62,5.51,0.44,L85
ITM10586,Pharma,108,89,14,8,11.05,3.11,0.17,L16
ITM10587,Electronics,112,80,10,2,32.64,8.71,0.43,L93
ITM10588,Pharma,346,53,5,7,42.45,6.27,0.26,L39
ITM10589,Electronics,260,96,5,7,24.14,0.5,0.96,L65
ITM10590,Electronics,342,50,14,6,36.62,8.15,0.74,L40
ITM10591,Electronics,487,84,8,5,49.97,3.64,0.77,L86
ITM10592,Automotive,423,51,3,2,49.52,3.54,0.49,L53
ITM10593,Apparel,136,42,6,2,37.47,4.14,0.2,L42
ITM10594,Pharma,113,59,3,5,37.24,6.49,0.34,L52
ITM10595,Automotive,182,72,5,5,13.13,4.7,0.33,L90
ITM10596,Automotive,118,46,11,5,41.84,6.47,0.54,L38
ITM10597,Automotive,132,68,7,7,20.85,1.89,0.51,L71
ITM10598,Automotive,378,90,14,6,48.14,9.72,0.49,L17
ITM10599,Automotive,110,57,7,8,4.99,7.43,0.55,L25
ITM10600,Groceries,365,14,13,9,22.36,2.88,0.99,L54
ITM10601,Pharma,225,57,6,5,28.24,7.38,0.37,L86
ITM10602,Automotive,36,12,5,6,20.85,5.96,0.65,L49
ITM10603,Pharma,293,56,7,4,11.32,1.54,0.32,L87
ITM10604,Groceries,192,71,13,2,30.06,2.19,0.52,L96
ITM10605,Groceries,135,23,6,2,38.04,0.89,0.28,L23
ITM10606,Pharma,368,72,10,9,32.6,8.19,0.6,L79
ITM10607,Electronics,487,70,6,9,12.49,5.74,0.34,L73
ITM10608,Apparel,200,40,13,3,36.85,3.51,0.13,L39
ITM10609,Electronics,110,26,14,4,13.59,1.7,0.83,L52
ITM10610,Electronics,101,33,10,8,9.58,5.1,0.22,L71
ITM10611,Electronics,343,32,8,9,34.84,5.49,0.43,L1
ITM10612,Automotive,468,91,14,5,42.3,7.17,0.53,L39
ITM10613,Groceries,133,59,13,5,24.6,9.71,0.49,L37
ITM10614,Electronics,276,87,7,8,27.04,4.63,0.75,L27
ITM10615,Groceries,77,88,6,7,15.83,4.36,0.64,L56
ITM10616,Pharma,173,88,6,4,25.24,4.01,0.37,L75
ITM10617,Apparel,384,79,14,5,7.47,8.36,0.15,L78
ITM10618,Pharma,423,36,6,9,47.84,1.99,0.79,L84
ITM10619,Pharma,135,24,13,3,40.22,3.77,0.42,L42
ITM10620,Automotive,362,59,11,6,33.73,7.39,0.9,L60
ITM10621,Apparel,285,45,6,2,27.37,0.65,0.46,L57
ITM10622,Pharma,334,17,14,4,39.82,3.25,0.75,L57
ITM10623,Pharma,222,88,11,2,25.24,6.59,0.95,L87
ITM10624,Apparel,60,12,12,6,15.7,2.27,0.69,L28
ITM10625,Apparel,124,71,8,4,8.86,3.38,0.47,L66
ITM10626,Pharma,408,56,12,9,32.73,5.12,0.61,L61
ITM10627,Apparel,397,86,9,6,46.54,4.51,0.59,L95
ITM10628,Pharma,212,97,14,5,8.53,1.51,0.63,L22
ITM10629,Pharma,420,70,12,8,9.82,9.41,0.23,L85
ITM10630,Automotive,297,41,5,5,22.25,0.92,0.73,L11
ITM10631,Electronics,373,22,10,9,40.54,7.62,0.23,L37
ITM10632,Pharma,256,10,5,8,15.4,1.18,0.11,L66
ITM10633,Groceries,444,43,3,5,13.44,4.94,0.66,L85
ITM10634,Electronics,240,71,12,6,31.38,2.17,0.21,L82
ITM10635,Electronics,87,88,14,6,27.25,1.84,0.79,L80
ITM10636,Electronics,216,87,7,6,3.95,1.7,0.88,L43
ITM10637,Automotive,275,91,4,2,4.99,4.8,0.95,L12
ITM10638,Pharma,158,80,12,9,32.51,5.4,0.7,L97
ITM10639,Automotive,331,40,8,6,23.79,1.77,0.53,L31
ITM10640,Pharma,454,73,12,5,48.58,9.8,0.42,L87
ITM10641,Automotive,168,34,11,3,34.25,2.95,0.54,L40
ITM10642,Automotive,118,47,3,9,1.49,4.86,0.27,L29
ITM10643,Groceries,95,23,6,6,24.57,2.55,0.41,L26
ITM10644,Automotive,301,17,3,3,21.31,5.19,0.75,L19
ITM10645,Apparel,390,63,3,8,6.23,7.68,0.3,L4
ITM10646,Groceries,422,11,10,5,46.24,5.45,0.34,L6
ITM10647,Automotive,128,90,13,6,40.45,3.21,0.77,L32
ITM10648,Electronics,207,87,4,2,12.27,2.86,0.26,L61
ITM10649,Apparel,218,98,3,2,13.54,7.71,0.32,L79
ITM10650,Apparel,322,65,13,8,2.57,1.62,0.12,L99
ITM10651,Apparel,346,93,10,3,15.54,4.01,0.75,L10
ITM10652,Groceries,173,94,6,7,29.65,1.94,0.66,L59
ITM10653,Automotive,59,70,5,2,21.62,2.95,0.72,L54
ITM10654,Automotive,152,31,14,9,48.49,1.95,0.29,L81
ITM10655,Electronics,424,44,6,2,3.75,8.92,0.72,L74
ITM10656,Electronics,481,25,13,2,29.98,7.45,0.64,L25
ITM10657,Apparel,151,59,7,5,43.06,5.83,0.43,L92
ITM10658,Electronics,298,52,3,2,24.56,2.63,0.49,L90
ITM10659,Groceries,381,26,13,4,1.15,5.35,0.61,L50
ITM10660,Automotive,103,89,3,6,12.9,5.45,0.54,L64
ITM10661,Apparel,418,67,5,8,16.86,6.11,0.68,L52
ITM10662,Electronics,261,11,8,2,48.33,1.07,0.26,L32
ITM10663,Groceries,135,13,3,7,45.68,9.74,0.59,L19
ITM10664,Groceries,128,94,13,9,47.51,4.92,0.51,L84
ITM10665,Electronics,240,48,14,7,41.46,9.3,0.51,L89
ITM10666,Automotive,411,15,4,2,18.23,0.59,0.52,L1
ITM10667,Electronics,60,90,14,2,45.39,2.85,0.89,L97
ITM10668,Apparel,387,98,9,4,49.1,1.49,0.84,L99
ITM10669,Electronics,166,78,3,2,18.15,7.81,0.67,L14
ITM10670,Groceries,131,78,9,2,13.77,3.54,0.74,L100
ITM10671,Electronics,122,29,6,6,27.8,8.48,0.14,L55
ITM10672,Automotive,65,73,12,7,10.17,8.41,0.77,L29
ITM10673,Pharma,431,25,8,4,2.6,6.84,0.54,L23
ITM10674,Electronics,494,60,10,7,47.35,6.82,0.39,L90
ITM10675,Automotive,343,46,11,4,46.36,7.15,0.23,L67
ITM10676,Automotive,397,82,8,7,8.97,6.9,0.17,L60
ITM10677,Groceries,290,78,14,2,20.98,4.18,0.14,L7
ITM10678,Automotive,440,51,13,7,41.72,6.99,0.25,L72
ITM10679,Automotive,404,66,11,7,33.39,9.03,0.13,L32
ITM10680,Automotive,214,75,6,4,20.34,3.66,0.76,L16
ITM10681,Automotive,386,18,8,8,37.46,9.48,0.32,L59
ITM10682,Apparel,299,95,10,3,44.96,0.63,0.43,L18
ITM10683,Apparel,302,73,11,4,46.38,3.82,0.84,L60
ITM10684,Groceries,59,95,5,4,19.56,1.75,0.2,L86
ITM10685,Electronics,466,31,4,4,9.5,1.7,0.85,L68
ITM10686,Automotive,208,43,8,5,45.73,8.25,0.68,L72
ITM10687,Electronics,183,64,6,8,5.54,9.22,0.41,L77
ITM10688,Electronics,496,38,3,5,36.36,7.89,0.21,L41
ITM10689,Groceries,43,47,10,5,7.88,9.78,0.18,L97
ITM10690,Automotive,43,27,11,4,20.08,2.56,0.4,L57
ITM10691,Automotive,23,80,11,3,21.17,1.84,0.23,L79
ITM10692,Pharma,342,74,4,4,8.78,5.45,0.34,L93
ITM10693,Electronics,309,10,11,2,46.21,8.38,0.15,L65
ITM10694,Electronics,460,97,9,3,1.13,0.88,0.64,L55
ITM10695,Apparel,452,13,7,5,44.8,9.96,0.23,L71
ITM10696,Pharma,490,13,9,9,44.31,6.22,0.78,L58
ITM10697,Apparel,200,91,11,7,16.53,9.8,0.3,L21
ITM10698,Apparel,267,36,10,7,35.51,3.97,0.82,L96
ITM10699,Apparel,135,52,8,8,13.39,4.85,0.27,L61
ITM10700,Groceries,298,68,6,9,38.18,7.65,0.75,L58
ITM10701,Groceries,384,41,3,6,28.49,8.03,0.4,L34
ITM10702,Apparel,88,42,8,8,15.71,2.71,0.62,L97
ITM10703,Pharma,370,37,5,3,20.61,9.33,0.13,L32
ITM10704,Electronics,273,64,8,5,34.8,8.74,0.55,L82
ITM10705,Pharma,200,69,8,3,45.4,0.67,0.23,L36
ITM10706,Automotive,337,79,6,3,7.41,1.72,0.54,L99
ITM10707,Groceries,188,71,4,7,29.0,5.21,0.23,L100
ITM10708,Electronics,332,89,11,4,13.43,4.88,0.49,L67
ITM10709,Electronics,268,43,4,2,40.27,7.23,0.2,L63
ITM10710,Automotive,207,96,5,6,4.44,1.35,0.3,L81
ITM10711,Automotive,73,97,12,5,34.76,6.63,0.64,L31
ITM10712,Apparel,345,65,3,3,9.57,6.36,0.98,L36
ITM10713,Groceries,376,22,9,6,30.22,2.72,0.5,L57
ITM10714,Groceries,332,65,3,3,41.95,5.65,0.72,L10
ITM10715,Pharma,157,27,13,9,38.0,2.61,0.59,L92
ITM10716,Apparel,187,63,11,7,37.89,1.9,0.55,L37
ITM10717,Apparel,410,86,13,2,26.37,5.94,0.16,L31
ITM10718,Apparel,122,52,13,7,44.65,9.79,0.23,L35
ITM10719,Apparel,441,48,3,6,29.82,2.75,0.89,L43
ITM10720,Groceries,104,70,7,5,45.96,3.88,0.47,L41
ITM10721,Groceries,336,51,9,3,27.78,2.94,0.65,L70
ITM10722,Apparel,231,90,5,2,25.79,3.03,0.58,L11
ITM10723,Pharma,22,88,11,9,11.9,4.34,0.44,L18
ITM10724,Electronics,403,27,10,7,27.69,7.17,0.45,L20
ITM10725,Electronics,198,32,5,9,7.89,0.87,0.6,L30
ITM10726,Pharma,361,63,7,6,43.61,9.59,0.23,L50
ITM10727,Apparel,322,39,9,7,34.12,0.94,0.45,L89
ITM10728,Groceries,471,67,14,3,49.69,8.87,0.5,L20
ITM10729,Electronics,495,77,6,3,5.51,9.0,0.99,L91
ITM10730,Automotive,351,76,7,9,12.79,5.48,0.42,L28
ITM10731,Automotive,57,80,5,5,43.98,1.8,0.68,L9
ITM10732,Pharma,439,27,11,2,20.37,5.87,0.22,L54
ITM10733,Apparel,258,16,12,4,23.85,6.47,0.16,L53
ITM10734,Electronics,188,49,11,7,43.17,8.65,0.88,L43
ITM10735,Apparel,472,79,9,3,26.57,5.73,0.76,L70
ITM10736,Electronics,416,95,12,6,10.48,4.4,0.39,L60
ITM10737,Pharma,362,74,4,7,44.71,8.46,0.55,L54
ITM10738,Pharma,333,77,9,5,2.52,9.82,0.22,L8
ITM10739,Automotive,325,58,9,5,44.87,6.63,0.74,L27
ITM10740,Apparel,49,61,13,3,3.48,8.81,0.16,L54
ITM10741,Automotive,209,38,7,3,33.63,6.19,0.78,L50
ITM10742,Apparel,376,30,11,9,4.51,7.05,0.59,L99
ITM10743,Automotive,44,99,14,3,35.6,7.04,0.35,L75
ITM10744,Groceries,131,87,13,9,2.66,7.2,0.88,L90
ITM10745,Groceries,430,18,5,8,42.28,3.55,0.99,L3
ITM10746,Groceries,454,56,6,4,23.83,5.97,0.33,L98
ITM10747,Groceries,225,85,3,3,5.58,6.14,0.83,L74
ITM10748,Electronics,204,51,8,7,35.63,3.49,0.78,L49
ITM10749,Groceries,401,60,6,7,24.98,3.82,0.77,L62
ITM10750,Pharma,398,65,3,9,10.36,7.74,0.96,L1
ITM10751,Pharma,66,60,4,8,1.77,6.04,0.54,L46
ITM10752,Electronics,393,79,5,8,21.48,1.92,0.71,L39
ITM10753,Groceries,247,29,11,2,5.2,8.46,0.84,L97
ITM10754,Groceries,58,97,10,6,5.61,8.89,0.53,L50
ITM10755,Groceries,35,36,9,3,14.1,4.93,0.53,L54
ITM10756,Automotive,41,47,13,9,31.89,2.48,0.39,L69
ITM10757,Apparel,232,81,14,7,26.97,9.5,0.8,L96
ITM10758,Automotive,329,74,6,8,4.38,8.88,0.72,L95
ITM10759,Apparel,168,63,3,7,48.45,2.82,0.51,L70
ITM10760,Groceries,475,33,10,7,44.47,1.41,0.48,L78
ITM10761,Groceries,260,56,6,8,13.7,4.69,0.17,L29
ITM10762,Automotive,291,80,5,4,6.99,6.93,0.11,L63
ITM10763,Automotive,78,92,11,8,47.18,2.17,0.58,L29
ITM10764,Apparel,306,95,12,8,23.6,5.38,0.48,L35
ITM10765,Pharma,445,72,6,6,16.25,4.54,0.82,L56
ITM10766,Apparel,221,66,6,9,25.03,8.96,0.59,L63
ITM10767,Automotive,51,64,11,9,38.86,4.58,0.94,L4
ITM10768,Automotive,462,69,14,8,9.25,5.57,0.28,L50
ITM10769,Electronics,181,71,13,5,38.61,9.58,0.99,L44
ITM10770,Automotive,274,39,14,9,37.72,3.35,0.37,L86
ITM10771,Electronics,273,31,4,9,27.43,3.25,0.68,L87
ITM10772,Pharma,28,84,14,9,43.43,8.1,0.55,L52
ITM10773,Apparel,484,93,7,8,7.48,3.14,0.42,L93
ITM10774,Apparel,158,38,6,7,30.18,8.4,0.23,L22
ITM10775,Electronics,499,50,11,3,23.02,1.41,0.22,L60
ITM10776,Apparel,29,51,14,7,21.69,1.56,0.74,L17
ITM10777,Automotive,233,74,7,6,13.38,9.06,0.44,L80
ITM10778,Groceries,292,40,11,5,19.24,5.64,0.97,L69
ITM10779,Electronics,343,39,13,8,6.3,7.33,0.39,L4
ITM10780,Apparel,67,27,11,4,13.33,2.64,0.99,L51
ITM10781,Electronics,455,26,4,2,14.33,2.08,0.28,L76
ITM10782,Electronics,130,47,11,8,36.31,8.43,0.19,L73
ITM10783,Groceries,172,23,5,3,3.38,3.91,0.38,L85
ITM10784,Automotive,142,96,6,2,32.91,4.82,0.9,L4
ITM10785,Electronics,424,98,3,4,11.85,0.77,0.57,L11
ITM10786,Apparel,376,88,3,6,5.01,4.17,0.22,L83
ITM10787,Pharma,121,65,3,6,15.74,7.82,0.28,L55
ITM10788,Electronics,260,31,11,4,12.0,8.3,0.38,L18
ITM10789,Electronics,340,76,13,7,28.05,7.14,0.63,L60
ITM10790,Groceries,210,65,10,4,18.51,7.08,0.4,L24
ITM10791,Automotive,236,28,7,9,48.33,5.31,0.77,L7
ITM10792,Pharma,70,66,7,9,48.21,5.61,0.65,L34
ITM10793,Apparel,311,53,11,8,22.74,7.56,0.89,L49
ITM10794,Pharma,100,44,5,3,39.96,2.85,0.55,L42
ITM10795,Apparel,402,10,5,9,1.65,2.7,0.4,L28
ITM10796,Automotive,107,61,9,5,27.84,9.52,1.0,L59
ITM10797,Apparel,213,94,11,8,37.42,0.76,0.42,L42
ITM10798,Groceries,123,79,8,8,11.63,1.82,0.49,L44
ITM10799,Groceries,290,46,4,8,4.0,5.92,0.83,L98
ITM10800,Groceries,115,74,3,2,8.64,7.51,0.18,L49
ITM10801,Groceries,442,60,4,2,22.65,5.61,0.45,L36
ITM10802,Pharma,398,10,3,6,25.81,3.87,0.18,L97
ITM10803,Automotive,217,30,12,8,19.66,9.79,0.23,L54
ITM10804,Apparel,20,62,12,7,22.56,7.19,0.1,L33
ITM10805,Apparel,426,25,11,9,24.04,8.4,0.11,L11
ITM10806,Groceries,397,70,12,6,38.7,0.88,0.44,L61
ITM10807,Groceries,186,63,14,3,6.16,2.74,0.83,L3
ITM10808,Electronics,145,49,10,4,38.68,4.05,0.63,L96
ITM10809,Automotive,332,35,9,2,34.74,2.23,0.67,L70
ITM10810,Pharma,100,89,5,8,37.34,1.19,0.57,L7
ITM10811,Apparel,437,74,10,3,36.99,2.64,0.84,L45
ITM10812,Electronics,270,83,4,6,24.06,5.57,0.89,L29
ITM10813,Electronics,188,73,4,6,11.36,7.11,0.86,L84
ITM10814,Apparel,496,52,13,2,27.29,7.85,0.83,L9
ITM10815,Pharma,92,26,12,6,47.94,0.91,0.26,L100
ITM10816,Electronics,160,68,5,7,29.84,4.57,0.63,L84
